"Weekly Data low,high,etc",Price Info
2020-07-26.5. volume,346433.53511500
2020-07-26.6. market cap (USD),346433.53511500
2020-07-19.1a. open (USD),9303.31000000
2020-07-19.1b. open (USD),9303.31000000
2020-07-19.2a. high (USD),9343.82000000
2020-07-19.2b. high (USD),9343.82000000
2020-07-19.3a. low (USD),9047.25000000
2020-07-19.3b. low (USD),9047.25000000
2020-07-19.4a. close (USD),9208.99000000
2020-07-19.4b. close (USD),9208.99000000
2020-07-19.5. volume,247602.69209500
2020-07-19.6. market cap (USD),247602.69209500
2020-07-12.1a. open (USD),9069.41000000
2020-07-12.1b. open (USD),9069.41000000
2020-07-12.2a. high (USD),9470.00000000
2020-07-12.2b. high (USD),9470.00000000
2020-07-12.3a. low (USD),9055.92000000
2020-07-12.3b. low (USD),9055.92000000
2020-07-12.4a. close (USD),9302.75000000
2020-07-12.4b. close (USD),9302.75000000
2020-07-12.5. volume,284964.99967300
2020-07-12.6. market cap (USD),284964.99967300
2020-07-05.1a. open (USD),9116.16000000
2020-07-05.1b. open (USD),9116.16000000
2020-07-05.2a. high (USD),9292.00000000
2020-07-05.2b. high (USD),9292.00000000
2020-07-05.3a. low (USD),8893.03000000
2020-07-05.3b. low (USD),8893.03000000
2020-07-05.4a. close (USD),9069.41000000
2020-07-05.4b. close (USD),9069.41000000
2020-07-05.5. volume,247256.19512500
2020-07-05.6. market cap (USD),247256.19512500
2020-06-28.1a. open (USD),9294.69000000
2020-06-28.1b. open (USD),9294.69000000
2020-06-28.2a. high (USD),9780.00000000
2020-06-28.2b. high (USD),9780.00000000
2020-06-28.3a. low (USD),8833.00000000
2020-06-28.3b. low (USD),8833.00000000
2020-06-28.4a. close (USD),9116.35000000
2020-06-28.4b. close (USD),9116.35000000
2020-06-28.5. volume,343601.08315400
2020-06-28.6. market cap (USD),343601.08315400
2020-06-21.1a. open (USD),9342.10000000
2020-06-21.1b. open (USD),9342.10000000
2020-06-21.2a. high (USD),9589.00000000
2020-06-21.2b. high (USD),9589.00000000
2020-06-21.3a. low (USD),8910.45000000
2020-06-21.3b. low (USD),8910.45000000
2020-06-21.4a. close (USD),9294.69000000
2020-06-21.4b. close (USD),9294.69000000
2020-06-21.5. volume,323565.71184200
2020-06-21.6. market cap (USD),323565.71184200
2020-06-14.1a. open (USD),9746.99000000
2020-06-14.1b. open (USD),9746.99000000
2020-06-14.2a. high (USD),9992.72000000
2020-06-14.2b. high (USD),9992.72000000
2020-06-14.3a. low (USD),9113.00000000
2020-06-14.3b. low (USD),9113.00000000
2020-06-14.4a. close (USD),9342.10000000
2020-06-14.4b. close (USD),9342.10000000
2020-06-14.5. volume,336172.77151700
2020-06-14.6. market cap (USD),336172.77151700
2020-06-07.1a. open (USD),9448.27000000
2020-06-07.1b. open (USD),9448.27000000
2020-06-07.2a. high (USD),10380.00000000
2020-06-07.2b. high (USD),10380.00000000
2020-06-07.3a. low (USD),9266.00000000
2020-06-07.3b. low (USD),9266.00000000
2020-06-07.4a. close (USD),9746.99000000
2020-06-07.4b. close (USD),9746.99000000
2020-06-07.5. volume,427822.49534700
2020-06-07.6. market cap (USD),427822.49534700
2020-05-31.1a. open (USD),8718.14000000
2020-05-31.1b. open (USD),8718.14000000
2020-05-31.2a. high (USD),9740.00000000
2020-05-31.2b. high (USD),9740.00000000
2020-05-31.3a. low (USD),8642.72000000
2020-05-31.3b. low (USD),8642.72000000
2020-05-31.4a. close (USD),9448.27000000
2020-05-31.4b. close (USD),9448.27000000
2020-05-31.5. volume,425528.24616700
2020-05-31.6. market cap (USD),425528.24616700
2020-05-24.1a. open (USD),9681.11000000
2020-05-24.1b. open (USD),9681.11000000
2020-05-24.2a. high (USD),9950.00000000
2020-05-24.2b. high (USD),9950.00000000
2020-05-24.3a. low (USD),8700.00000000
2020-05-24.3b. low (USD),8700.00000000
2020-05-24.4a. close (USD),8720.34000000
2020-05-24.4b. close (USD),8720.34000000
2020-05-24.5. volume,517248.17753600
2020-05-24.6. market cap (USD),517248.17753600
2020-05-17.1a. open (USD),8722.77000000
2020-05-17.1b. open (USD),8722.77000000
2020-05-17.2a. high (USD),9939.00000000
2020-05-17.2b. high (USD),9939.00000000
2020-05-17.3a. low (USD),8200.00000000
2020-05-17.3b. low (USD),8200.00000000
2020-05-17.4a. close (USD),9680.04000000
2020-05-17.4b. close (USD),9680.04000000
2020-05-17.5. volume,721487.83708700
2020-05-17.6. market cap (USD),721487.83708700
2020-05-10.1a. open (USD),8894.15000000
2020-05-10.1b. open (USD),8894.15000000
2020-05-10.2a. high (USD),10067.00000000
2020-05-10.2b. high (USD),10067.00000000
2020-05-10.3a. low (USD),8117.00000000
2020-05-10.3b. low (USD),8117.00000000
2020-05-10.4a. close (USD),8722.77000000
2020-05-10.4b. close (USD),8722.77000000
2020-05-10.5. volume,780478.84946600
2020-05-10.6. market cap (USD),780478.84946600
2020-05-03.1a. open (USD),7693.10000000
2020-05-03.1b. open (USD),7693.10000000
2020-05-03.2a. high (USD),9460.00000000
2020-05-03.2b. high (USD),9460.00000000
2020-05-03.3a. low (USD),7606.00000000
2020-05-03.3b. low (USD),7606.00000000
2020-05-03.4a. close (USD),8894.16000000
2020-05-03.4b. close (USD),8894.16000000
2020-05-03.5. volume,742165.16210400
2020-05-03.6. market cap (USD),742165.16210400
2020-04-26.1a. open (USD),7121.40000000
2020-04-26.1b. open (USD),7121.40000000
2020-04-26.2a. high (USD),7738.00000000
2020-04-26.2b. high (USD),7738.00000000
2020-04-26.3a. low (USD),6751.00000000
2020-04-26.3b. low (USD),6751.00000000
2020-04-26.4a. close (USD),7693.10000000
2020-04-26.4b. close (USD),7693.10000000
2020-04-26.5. volume,469098.31294700
2020-04-26.6. market cap (USD),469098.31294700
2020-04-19.1a. open (USD),6903.79000000
2020-04-19.1b. open (USD),6903.79000000
2020-04-19.2a. high (USD),7293.08000000
2020-04-19.2b. high (USD),7293.08000000
2020-04-19.3a. low (USD),6468.27000000
2020-04-19.3b. low (USD),6468.27000000
2020-04-19.4a. close (USD),7120.74000000
2020-04-19.4b. close (USD),7120.74000000
2020-04-19.5. volume,501345.25890300
2020-04-19.6. market cap (USD),501345.25890300
2020-04-12.1a. open (USD),6772.78000000
2020-04-12.1b. open (USD),6772.78000000
2020-04-12.2a. high (USD),7459.69000000
2020-04-12.2b. high (USD),7459.69000000
2020-04-12.3a. low (USD),6739.98000000
2020-04-12.3b. low (USD),6739.98000000
2020-04-12.4a. close (USD),6903.79000000
2020-04-12.4b. close (USD),6903.79000000
2020-04-12.5. volume,582804.77108700
2020-04-12.6. market cap (USD),582804.77108700
2020-04-05.1a. open (USD),5880.50000000
2020-04-05.1b. open (USD),5880.50000000
2020-04-05.2a. high (USD),7198.00000000
2020-04-05.2b. high (USD),7198.00000000
2020-04-05.3a. low (USD),5857.76000000
2020-04-05.3b. low (USD),5857.76000000
2020-04-05.4a. close (USD),6772.78000000
2020-04-05.4b. close (USD),6772.78000000
2020-04-05.5. volume,664784.29958300
2020-04-05.6. market cap (USD),664784.29958300
2020-03-29.1a. open (USD),5816.05000000
2020-03-29.1b. open (USD),5816.05000000
2020-03-29.2a. high (USD),6957.96000000
2020-03-29.2b. high (USD),6957.96000000
2020-03-29.3a. low (USD),5688.00000000
2020-03-29.3b. low (USD),5688.00000000
2020-03-29.4a. close (USD),5881.42000000
2020-03-29.4b. close (USD),5881.42000000
2020-03-29.5. volume,770380.80536000
2020-03-29.6. market cap (USD),770380.80536000
2020-03-22.1a. open (USD),5360.33000000
2020-03-22.1b. open (USD),5360.33000000
2020-03-22.2a. high (USD),6900.00000000
2020-03-22.2b. high (USD),6900.00000000
2020-03-22.3a. low (USD),4442.12000000
2020-03-22.3b. low (USD),4442.12000000
2020-03-22.4a. close (USD),5816.19000000
2020-03-22.4b. close (USD),5816.19000000
2020-03-22.5. volume,1180843.34582000
2020-03-22.6. market cap (USD),1180843.34582000
2020-03-15.1a. open (USD),8034.76000000
2020-03-15.1b. open (USD),8034.76000000
2020-03-15.2a. high (USD),8179.31000000
2020-03-15.2b. high (USD),8179.31000000
2020-03-15.3a. low (USD),3782.13000000
2020-03-15.3b. low (USD),3782.13000000
2020-03-15.4a. close (USD),5361.30000000
2020-03-15.4b. close (USD),5361.30000000
2020-03-15.5. volume,1224228.28324000
2020-03-15.6. market cap (USD),1224228.28324000
2020-03-08.1a. open (USD),8530.30000000
2020-03-08.1b. open (USD),8530.30000000
2020-03-08.2a. high (USD),9188.00000000
2020-03-08.2b. high (USD),9188.00000000
2020-03-08.3a. low (USD),8000.00000000
2020-03-08.3b. low (USD),8000.00000000
2020-03-08.4a. close (USD),8033.31000000
2020-03-08.4b. close (USD),8033.31000000
2020-03-08.5. volume,379197.13168000
2020-03-08.6. market cap (USD),379197.13168000
2020-03-01.1a. open (USD),9936.40000000
2020-03-01.1b. open (USD),9936.40000000
2020-03-01.2a. high (USD),9990.00000000
2020-03-01.2b. high (USD),9990.00000000
2020-03-01.3a. low (USD),8411.00000000
2020-03-01.3b. low (USD),8411.00000000
2020-03-01.4a. close (USD),8531.88000000
2020-03-01.4b. close (USD),8531.88000000
2020-03-01.5. volume,426585.45870700
2020-03-01.6. market cap (USD),426585.45870700
2020-02-23.1a. open (USD),9910.70000000
2020-02-23.1b. open (USD),9910.70000000
2020-02-23.2a. high (USD),10250.00000000
2020-02-23.2b. high (USD),10250.00000000
2020-02-23.3a. low (USD),9350.00000000
2020-02-23.3b. low (USD),9350.00000000
2020-02-23.4a. close (USD),9936.40000000
2020-02-23.4b. close (USD),9936.40000000
2020-02-23.5. volume,360700.46771900
2020-02-23.6. market cap (USD),360700.46771900
2020-02-16.1a. open (USD),10151.72000000
2020-02-16.1b. open (USD),10151.72000000
2020-02-16.2a. high (USD),10500.00000000
2020-02-16.2b. high (USD),10500.00000000
2020-02-16.3a. low (USD),9638.12000000
2020-02-16.3b. low (USD),9638.12000000
2020-02-16.4a. close (USD),9917.27000000
2020-02-16.4b. close (USD),9917.27000000
2020-02-16.5. volume,427067.58518900
2020-02-16.6. market cap (USD),427067.58518900
2020-02-09.1a. open (USD),9331.59000000
2020-02-09.1b. open (USD),9331.59000000
2020-02-09.2a. high (USD),10166.00000000
2020-02-09.2b. high (USD),10166.00000000
2020-02-09.3a. low (USD),9093.01000000
2020-02-09.3b. low (USD),9093.01000000
2020-02-09.4a. close (USD),10151.75000000
2020-02-09.4b. close (USD),10151.75000000
2020-02-09.5. volume,364995.86483400
2020-02-09.6. market cap (USD),364995.86483400
2020-02-02.1a. open (USD),8614.39000000
2020-02-02.1b. open (USD),8614.39000000
2020-02-02.2a. high (USD),9578.00000000
2020-02-02.2b. high (USD),9578.00000000
2020-02-02.3a. low (USD),8535.00000000
2020-02-02.3b. low (USD),8535.00000000
2020-02-02.4a. close (USD),9331.51000000
2020-02-02.4b. close (USD),9331.51000000
2020-02-02.5. volume,362870.20838800
2020-02-02.6. market cap (USD),362870.20838800
2020-01-26.1a. open (USD),8701.72000000
2020-01-26.1b. open (USD),8701.72000000
2020-01-26.2a. high (USD),8818.00000000
2020-01-26.2b. high (USD),8818.00000000
2020-01-26.3a. low (USD),8238.00000000
2020-01-26.3b. low (USD),8238.00000000
2020-01-26.4a. close (USD),8615.00000000
2020-01-26.4b. close (USD),8615.00000000
2020-01-26.5. volume,250977.00176500
2020-01-26.6. market cap (USD),250977.00176500
2020-01-19.1a. open (USD),8184.97000000
2020-01-19.1b. open (USD),8184.97000000
2020-01-19.2a. high (USD),9198.98000000
2020-01-19.2b. high (USD),9198.98000000
2020-01-19.3a. low (USD),8055.89000000
2020-01-19.3b. low (USD),8055.89000000
2020-01-19.4a. close (USD),8701.70000000
2020-01-19.4b. close (USD),8701.70000000
2020-01-19.5. volume,468235.62749600
2020-01-19.6. market cap (USD),468235.62749600
2020-01-12.1a. open (USD),7357.64000000
2020-01-12.1b. open (USD),7357.64000000
2020-01-12.2a. high (USD),8455.00000000
2020-01-12.2b. high (USD),8455.00000000
2020-01-12.3a. low (USD),7346.76000000
2020-01-12.3b. low (USD),7346.76000000
2020-01-12.4a. close (USD),8184.98000000
2020-01-12.4b. close (USD),8184.98000000
2020-01-12.5. volume,498017.84689800
2020-01-12.6. market cap (USD),498017.84689800
2020-01-05.1a. open (USD),7388.43000000
2020-01-05.1b. open (USD),7388.43000000
2020-01-05.2a. high (USD),7495.00000000
2020-01-05.2b. high (USD),7495.00000000
2020-01-05.3a. low (USD),6871.04000000
2020-01-05.3b. low (USD),6871.04000000
2020-01-05.4a. close (USD),7358.75000000
2020-01-05.4b. close (USD),7358.75000000
2020-01-05.5. volume,241051.79844400
2020-01-05.6. market cap (USD),241051.79844400
2019-12-29.1a. open (USD),7500.71000000
2019-12-29.1b. open (USD),7500.71000000
2019-12-29.2a. high (USD),7695.38000000
2019-12-29.2b. high (USD),7695.38000000
2019-12-29.3a. low (USD),7076.42000000
2019-12-29.3b. low (USD),7076.42000000
2019-12-29.4a. close (USD),7388.24000000
2019-12-29.4b. close (USD),7388.24000000
2019-12-29.5. volume,267312.08693500
2019-12-29.6. market cap (USD),267312.08693500
2019-12-22.1a. open (USD),7119.60000000
2019-12-22.1b. open (USD),7119.60000000
2019-12-22.2a. high (USD),7518.54000000
2019-12-22.2b. high (USD),7518.54000000
2019-12-22.3a. low (USD),6435.00000000
2019-12-22.3b. low (USD),6435.00000000
2019-12-22.4a. close (USD),7501.44000000
2019-12-22.4b. close (USD),7501.44000000
2019-12-22.5. volume,339611.46169700
2019-12-22.6. market cap (USD),339611.46169700
2019-12-15.1a. open (USD),7510.11000000
2019-12-15.1b. open (USD),7510.11000000
2019-12-15.2a. high (USD),7650.00000000
2019-12-15.2b. high (USD),7650.00000000
2019-12-15.3a. low (USD),7008.35000000
2019-12-15.3b. low (USD),7008.35000000
2019-12-15.4a. close (USD),7118.59000000
2019-12-15.4b. close (USD),7118.59000000
2019-12-15.5. volume,252294.98040800
2019-12-15.6. market cap (USD),252294.98040800
2019-12-08.1a. open (USD),7391.50000000
2019-12-08.1b. open (USD),7391.50000000
2019-12-08.2a. high (USD),7750.00000000
2019-12-08.2b. high (USD),7750.00000000
2019-12-08.3a. low (USD),7067.00000000
2019-12-08.3b. low (USD),7067.00000000
2019-12-08.4a. close (USD),7510.11000000
2019-12-08.4b. close (USD),7510.11000000
2019-12-08.5. volume,331478.23127200
2019-12-08.6. market cap (USD),331478.23127200
2019-12-01.1a. open (USD),6900.23000000
2019-12-01.1b. open (USD),6900.23000000
2019-12-01.2a. high (USD),7850.00000000
2019-12-01.2b. high (USD),7850.00000000
2019-12-01.3a. low (USD),6515.00000000
2019-12-01.3b. low (USD),6515.00000000
2019-12-01.4a. close (USD),7390.89000000
2019-12-01.4b. close (USD),7390.89000000
2019-12-01.5. volume,503259.06429100
2019-12-01.6. market cap (USD),503259.06429100
2019-11-24.1a. open (USD),8502.87000000
2019-11-24.1b. open (USD),8502.87000000
2019-11-24.2a. high (USD),8503.52000000
2019-11-24.2b. high (USD),8503.52000000
2019-11-24.3a. low (USD),6790.00000000
2019-11-24.3b. low (USD),6790.00000000
2019-11-24.4a. close (USD),6903.28000000
2019-11-24.4b. close (USD),6903.28000000
2019-11-24.5. volume,422402.00470300
2019-11-24.6. market cap (USD),422402.00470300
2019-11-17.1a. open (USD),9040.16000000
2019-11-17.1b. open (USD),9040.16000000
2019-11-17.2a. high (USD),9072.32000000
2019-11-17.2b. high (USD),9072.32000000
2019-11-17.3a. low (USD),8350.68000000
2019-11-17.3b. low (USD),8350.68000000
2019-11-17.4a. close (USD),8502.40000000
2019-11-17.4b. close (USD),8502.40000000
2019-11-17.5. volume,239532.02348000
2019-11-17.6. market cap (USD),239532.02348000
2019-11-10.1a. open (USD),9196.46000000
2019-11-10.1b. open (USD),9196.46000000
2019-11-10.2a. high (USD),9513.68000000
2019-11-10.2b. high (USD),9513.68000000
2019-11-10.3a. low (USD),8696.00000000
2019-11-10.3b. low (USD),8696.00000000
2019-11-10.4a. close (USD),9039.47000000
2019-11-10.4b. close (USD),9039.47000000
2019-11-10.5. volume,294282.77161200
2019-11-10.6. market cap (USD),294282.77161200
2019-11-03.1a. open (USD),9528.23000000
2019-11-03.1b. open (USD),9528.23000000
2019-11-03.2a. high (USD),9902.10000000
2019-11-03.2b. high (USD),9902.10000000
2019-11-03.3a. low (USD),8913.00000000
2019-11-03.3b. low (USD),8913.00000000
2019-11-03.4a. close (USD),9194.71000000
2019-11-03.4b. close (USD),9194.71000000
2019-11-03.5. volume,354362.74432700
2019-11-03.6. market cap (USD),354362.74432700
2019-10-27.1a. open (USD),8223.35000000
2019-10-27.1b. open (USD),8223.35000000
2019-10-27.2a. high (USD),10370.00000000
2019-10-27.2b. high (USD),10370.00000000
2019-10-27.3a. low (USD),7300.00000000
2019-10-27.3b. low (USD),7300.00000000
2019-10-27.4a. close (USD),9529.93000000
2019-10-27.4b. close (USD),9529.93000000
2019-10-27.5. volume,508882.69375600
2019-10-27.6. market cap (USD),508882.69375600
2019-10-20.1a. open (USD),8275.24000000
2019-10-20.1b. open (USD),8275.24000000
2019-10-20.2a. high (USD),8403.00000000
2019-10-20.2b. high (USD),8403.00000000
2019-10-20.3a. low (USD),7816.01000000
2019-10-20.3b. low (USD),7816.01000000
2019-10-20.4a. close (USD),8223.35000000
2019-10-20.4b. close (USD),8223.35000000
2019-10-20.5. volume,219241.79231100
2019-10-20.6. market cap (USD),219241.79231100
2019-10-13.1a. open (USD),7855.30000000
2019-10-13.1b. open (USD),7855.30000000
2019-10-13.2a. high (USD),8779.51000000
2019-10-13.2b. high (USD),8779.51000000
2019-10-13.3a. low (USD),7762.00000000
2019-10-13.3b. low (USD),7762.00000000
2019-10-13.4a. close (USD),8275.01000000
2019-10-13.4b. close (USD),8275.01000000
2019-10-13.5. volume,281416.73873400
2019-10-13.6. market cap (USD),281416.73873400
2019-10-06.1a. open (USD),8043.04000000
2019-10-06.1b. open (USD),8043.04000000
2019-10-06.2a. high (USD),8500.00000000
2019-10-06.2b. high (USD),8500.00000000
2019-10-06.3a. low (USD),7710.00000000
2019-10-06.3b. low (USD),7710.00000000
2019-10-06.4a. close (USD),7854.25000000
2019-10-06.4b. close (USD),7854.25000000
2019-10-06.5. volume,239129.62607000
2019-10-06.6. market cap (USD),239129.62607000
2019-09-29.1a. open (USD),10028.05000000
2019-09-29.1b. open (USD),10028.05000000
2019-09-29.2a. high (USD),10049.99000000
2019-09-29.2b. high (USD),10049.99000000
2019-09-29.3a. low (USD),7750.00000000
2019-09-29.3b. low (USD),7750.00000000
2019-09-29.4a. close (USD),8043.82000000
2019-09-29.4b. close (USD),8043.82000000
2019-09-29.5. volume,364560.06474400
2019-09-29.6. market cap (USD),364560.06474400
2019-09-22.1a. open (USD),10303.34000000
2019-09-22.1b. open (USD),10303.34000000
2019-09-22.2a. high (USD),10355.00000000
2019-09-22.2b. high (USD),10355.00000000
2019-09-22.3a. low (USD),9653.00000000
2019-09-22.3b. low (USD),9653.00000000
2019-09-22.4a. close (USD),10028.87000000
2019-09-22.4b. close (USD),10028.87000000
2019-09-22.5. volume,188644.19962300
2019-09-22.6. market cap (USD),188644.19962300
2019-09-15.1a. open (USD),10381.24000000
2019-09-15.1b. open (USD),10381.24000000
2019-09-15.2a. high (USD),10480.00000000
2019-09-15.2b. high (USD),10480.00000000
2019-09-15.3a. low (USD),9880.00000000
2019-09-15.3b. low (USD),9880.00000000
2019-09-15.4a. close (USD),10302.01000000
2019-09-15.4b. close (USD),10302.01000000
2019-09-15.5. volume,207165.65445800
2019-09-15.6. market cap (USD),207165.65445800
2019-09-08.1a. open (USD),9723.59000000
2019-09-08.1b. open (USD),9723.59000000
2019-09-08.2a. high (USD),10905.87000000
2019-09-08.2b. high (USD),10905.87000000
2019-09-08.3a. low (USD),9712.50000000
2019-09-08.3b. low (USD),9712.50000000
2019-09-08.4a. close (USD),10381.18000000
2019-09-08.4b. close (USD),10381.18000000
2019-09-08.5. volume,281075.66490800
2019-09-08.6. market cap (USD),281075.66490800
2019-09-01.1a. open (USD),10142.69000000
2019-09-01.1b. open (USD),10142.69000000
2019-09-01.2a. high (USD),10604.00000000
2019-09-01.2b. high (USD),10604.00000000
2019-09-01.3a. low (USD),9320.00000000
2019-09-01.3b. low (USD),9320.00000000
2019-09-01.4a. close (USD),9724.98000000
2019-09-01.4b. close (USD),9724.98000000
2019-09-01.5. volume,211243.55028800
2019-09-01.6. market cap (USD),211243.55028800
2019-08-25.1a. open (USD),10306.17000000
2019-08-25.1b. open (USD),10306.17000000
2019-08-25.2a. high (USD),10949.96000000
2019-08-25.2b. high (USD),10949.96000000
2019-08-25.3a. low (USD),9762.00000000
2019-08-25.3b. low (USD),9762.00000000
2019-08-25.4a. close (USD),10142.69000000
2019-08-25.4b. close (USD),10142.69000000
2019-08-25.5. volume,232472.05333100
2019-08-25.6. market cap (USD),232472.05333100
2019-08-18.1a. open (USD),11539.08000000
2019-08-18.1b. open (USD),11539.08000000
2019-08-18.2a. high (USD),11577.89000000
2019-08-18.2b. high (USD),11577.89000000
2019-08-18.3a. low (USD),9750.00000000
2019-08-18.3b. low (USD),9750.00000000
2019-08-18.4a. close (USD),10306.78000000
2019-08-18.4b. close (USD),10306.78000000
2019-08-18.5. volume,248273.37466500
2019-08-18.6. market cap (USD),248273.37466500
2019-08-11.1a. open (USD),10929.99000000
2019-08-11.1b. open (USD),10929.99000000
2019-08-11.2a. high (USD),12330.70000000
2019-08-11.2b. high (USD),12330.70000000
2019-08-11.3a. low (USD),10927.80000000
2019-08-11.3b. low (USD),10927.80000000
2019-08-11.4a. close (USD),11549.97000000
2019-08-11.4b. close (USD),11549.97000000
2019-08-11.5. volume,371072.85766100
2019-08-11.6. market cap (USD),371072.85766100
2019-08-04.1a. open (USD),9541.54000000
2019-08-04.1b. open (USD),9541.54000000
2019-08-04.2a. high (USD),11040.00000000
2019-08-04.2b. high (USD),11040.00000000
2019-08-04.3a. low (USD),9395.00000000
2019-08-04.3b. low (USD),9395.00000000
2019-08-04.4a. close (USD),10929.23000000
2019-08-04.4b. close (USD),10929.23000000
2019-08-04.5. volume,259518.80601900
2019-08-04.6. market cap (USD),259518.80601900
2019-07-28.1a. open (USD),10590.15000000
2019-07-28.1b. open (USD),10590.15000000
2019-07-28.2a. high (USD),10683.16000000
2019-07-28.2b. high (USD),10683.16000000
2019-07-28.3a. low (USD),9165.00000000
2019-07-28.3b. low (USD),9165.00000000
2019-07-28.4a. close (USD),9541.54000000
2019-07-28.4b. close (USD),9541.54000000
2019-07-28.5. volume,269819.32510900
2019-07-28.6. market cap (USD),269819.32510900
2019-07-21.1a. open (USD),10174.18000000
2019-07-21.1b. open (USD),10174.18000000
2019-07-21.2a. high (USD),11100.00000000
2019-07-21.2b. high (USD),11100.00000000
2019-07-21.3a. low (USD),9060.00000000
2019-07-21.3b. low (USD),9060.00000000
2019-07-21.4a. close (USD),10589.45000000
2019-07-21.4b. close (USD),10589.45000000
2019-07-21.5. volume,487080.97263000
2019-07-21.6. market cap (USD),487080.97263000
2019-07-14.1a. open (USD),11410.00000000
2019-07-14.1b. open (USD),11410.00000000
2019-07-14.2a. high (USD),13147.08000000
2019-07-14.2b. high (USD),13147.08000000
2019-07-14.3a. low (USD),10103.00000000
2019-07-14.3b. low (USD),10103.00000000
2019-07-14.4a. close (USD),10174.18000000
2019-07-14.4b. close (USD),10174.18000000
2019-07-14.5. volume,510462.03567800
2019-07-14.6. market cap (USD),510462.03567800
2019-07-07.1a. open (USD),10854.10000000
2019-07-07.1b. open (USD),10854.10000000
2019-07-07.2a. high (USD),12000.00000000
2019-07-07.2b. high (USD),12000.00000000
2019-07-07.3a. low (USD),9727.00000000
2019-07-07.3b. low (USD),9727.00000000
2019-07-07.4a. close (USD),11406.24000000
2019-07-07.4b. close (USD),11406.24000000
2019-07-07.5. volume,517740.07169300
2019-07-07.6. market cap (USD),517740.07169300
2019-06-30.1a. open (USD),10905.95000000
2019-06-30.1b. open (USD),10905.95000000
2019-06-30.2a. high (USD),13970.00000000
2019-06-30.2b. high (USD),13970.00000000
2019-06-30.3a. low (USD),10525.10000000
2019-06-30.3b. low (USD),10525.10000000
2019-06-30.4a. close (USD),10854.10000000
2019-06-30.4b. close (USD),10854.10000000
2019-06-30.5. volume,684152.50877200
2019-06-30.6. market cap (USD),684152.50877200
2019-06-23.1a. open (USD),8953.00000000
2019-06-23.1b. open (USD),8953.00000000
2019-06-23.2a. high (USD),11392.64000000
2019-06-23.2b. high (USD),11392.64000000
2019-06-23.3a. low (USD),8950.00000000
2019-06-23.3b. low (USD),8950.00000000
2019-06-23.4a. close (USD),10906.07000000
2019-06-23.4b. close (USD),10906.07000000
2019-06-23.5. volume,378253.00306500
2019-06-23.6. market cap (USD),378253.00306500
2019-06-16.1a. open (USD),7627.57000000
2019-06-16.1b. open (USD),7627.57000000
2019-06-16.2a. high (USD),9333.00000000
2019-06-16.2b. high (USD),9333.00000000
2019-06-16.3a. low (USD),7511.00000000
2019-06-16.3b. low (USD),7511.00000000
2019-06-16.4a. close (USD),8953.33000000
2019-06-16.4b. close (USD),8953.33000000
2019-06-16.5. volume,274072.05837100
2019-06-16.6. market cap (USD),274072.05837100
2019-06-09.1a. open (USD),8726.00000000
2019-06-09.1b. open (USD),8726.00000000
2019-06-09.2a. high (USD),8800.95000000
2019-06-09.2b. high (USD),8800.95000000
2019-06-09.3a. low (USD),7444.58000000
2019-06-09.3b. low (USD),7444.58000000
2019-06-09.4a. close (USD),7628.13000000
2019-06-09.4b. close (USD),7628.13000000
2019-06-09.5. volume,293308.70969600
2019-06-09.6. market cap (USD),293308.70969600
2019-06-02.1a. open (USD),8612.54000000
2019-06-02.1b. open (USD),8612.54000000
2019-06-02.2a. high (USD),9074.26000000
2019-06-02.2b. high (USD),9074.26000000
2019-06-02.3a. low (USD),8005.00000000
2019-06-02.3b. low (USD),8005.00000000
2019-06-02.4a. close (USD),8725.98000000
2019-06-02.4b. close (USD),8725.98000000
2019-06-02.5. volume,292049.04381200
2019-06-02.6. market cap (USD),292049.04381200
2019-05-26.1a. open (USD),8147.94000000
2019-05-26.1b. open (USD),8147.94000000
2019-05-26.2a. high (USD),8740.00000000
2019-05-26.2b. high (USD),8740.00000000
2019-05-26.3a. low (USD),7461.00000000
2019-05-26.3b. low (USD),7461.00000000
2019-05-26.4a. close (USD),8614.43000000
2019-05-26.4b. close (USD),8614.43000000
2019-05-26.5. volume,341677.39881000
2019-05-26.6. market cap (USD),341677.39881000
2019-05-19.1a. open (USD),6968.24000000
2019-05-19.1b. open (USD),6968.24000000
2019-05-19.2a. high (USD),8366.00000000
2019-05-19.2b. high (USD),8366.00000000
2019-05-19.3a. low (USD),6870.00000000
2019-05-19.3b. low (USD),6870.00000000
2019-05-19.4a. close (USD),8148.48000000
2019-05-19.4b. close (USD),8148.48000000
2019-05-19.5. volume,461287.69413900
2019-05-19.6. market cap (USD),461287.69413900
2019-05-12.1a. open (USD),5773.18000000
2019-05-12.1b. open (USD),5773.18000000
2019-05-12.2a. high (USD),7521.78000000
2019-05-12.2b. high (USD),7521.78000000
2019-05-12.3a. low (USD),5619.14000000
2019-05-12.3b. low (USD),5619.14000000
2019-05-12.4a. close (USD),6967.31000000
2019-05-12.4b. close (USD),6967.31000000
2019-05-12.5. volume,313283.73422500
2019-05-12.6. market cap (USD),313283.73422500
2019-05-05.1a. open (USD),5309.81000000
2019-05-05.1b. open (USD),5309.81000000
2019-05-05.2a. high (USD),5900.00000000
2019-05-05.2b. high (USD),5900.00000000
2019-05-05.3a. low (USD),5178.80000000
2019-05-05.3b. low (USD),5178.80000000
2019-05-05.4a. close (USD),5775.62000000
2019-05-05.4b. close (USD),5775.62000000
2019-05-05.5. volume,191971.58997500
